Filename,Inference Time (ms),Temperature (°C),Used RAM (MB),CPU Usage (%)
frame0065.jpg,225,81.8,845.703,0
frame0098.jpg,225,80.1,846.141,0
frame0560.jpg,236,81.2,844.797,33.3
frame0042.jpg,225,81.2,847.109,33.3
frame0367.jpg,226,81.2,846.234,0
frame0041.jpg,225,81.2,847.375,0
frame0185.jpg,224,81.2,848.031,0
frame0602.jpg,224,81.2,847.062,33.3
frame0344.jpg,225,82.3,846.062,50
frame0142.jpg,227,80.7,846.031,50
frame0215.jpg,230,81.8,844.734,33.3
frame0281.jpg,225,82.9,845.938,0
frame0397.jpg,223,81.2,845.906,0
frame0506.jpg,224,81.8,845.859,33.3
frame0585.jpg,223,80.1,846.219,33.3
frame0321.jpg,225,81.8,846.438,33.3
frame0441.jpg,223,81.8,846.406,33.3
frame0414.jpg,227,80.1,847.516,33.3
frame0211.jpg,224,81.8,846.984,50
frame0279.jpg,234,80.7,847.641,0
frame0359.jpg,227,80.7,845.719,66.7
frame0404.jpg,224,80.7,845.828,0
frame0463.jpg,225,81.2,845.172,0
frame0498.jpg,225,80.1,846.281,33.3
frame0113.jpg,225,81.2,846.219,0
frame0061.jpg,224,82.3,848.031,0
frame0482.jpg,227,81.2,847.234,50
frame0511.jpg,225,80.7,846.484,33.3
frame0328.jpg,227,81.2,847.141,0
frame0120.jpg,225,80.1,846.406,33.3
frame0312.jpg,226,81.8,846.359,0
frame0254.jpg,228,81.2,847.953,66.7
frame0122.jpg,226,80.7,847.188,0
frame0268.jpg,226,81.8,846.234,0
frame0289.jpg,225,80.7,845.844,50
frame0583.jpg,225,81.2,845.875,50
frame0412.jpg,226,80.1,845.531,0
frame0028.jpg,225,80.7,846.469,33.3
frame0591.jpg,226,81.2,846.203,0
frame0219.jpg,226,80.7,846.641,33.3
frame0515.jpg,226,81.2,847.531,0
frame0014.jpg,227,81.8,846.562,33.3
frame0500.jpg,226,82.3,847.219,0
frame0311.jpg,224,80.7,846.703,0
frame0557.jpg,229,80.7,847.125,33.3
frame0049.jpg,227,80.7,846.859,0
frame0621.jpg,227,80.7,848.109,33.3
frame0484.jpg,225,81.2,848.062,33.3
frame0368.jpg,225,80.1,848.094,50
frame0008.jpg,225,81.2,847.594,0
frame0322.jpg,226,80.7,847.797,50
frame0410.jpg,224,81.8,847.266,33.3
frame0470.jpg,227,81.2,847.891,33.3
frame0253.jpg,224,80.7,848,33.3
frame0401.jpg,225,81.2,847.266,0
frame0182.jpg,228,80.7,847,0
frame0343.jpg,227,81.8,847.406,33.3
frame0544.jpg,226,80.1,846.906,50
frame0283.jpg,224,81.8,847,33.3
frame0465.jpg,226,80.1,846.797,33.3
frame0493.jpg,225,81.8,847.438,50
frame0413.jpg,228,81.2,846.922,50
frame0110.jpg,225,81.2,845.703,33.3
frame0581.jpg,227,81.2,845.656,33.3
frame0429.jpg,224,81.2,845.391,50
frame0040.jpg,226,81.8,846.281,0
frame0117.jpg,225,81.8,846.719,0
frame0124.jpg,224,81.8,845.953,33.3
frame0306.jpg,226,82.3,846.375,33.3
frame0080.jpg,225,81.2,847.484,33.3
frame0566.jpg,225,81.8,846.953,0
frame0331.jpg,225,81.8,845.516,33.3
frame0535.jpg,227,81.2,845.469,33.3
frame0352.jpg,225,81.2,845.438,50
frame0208.jpg,225,81.8,845.625,50
frame0373.jpg,226,81.2,845.578,0
frame0094.jpg,229,81.8,846.469,0
frame0537.jpg,226,81.2,845.969,0
frame0272.jpg,227,81.2,845.688,33.3
frame0454.jpg,224,81.8,845.406,0
frame0593.jpg,225,81.2,846.484,50
frame0531.jpg,223,82.3,845.969,0
frame0349.jpg,225,81.8,846.641,0
frame0430.jpg,226,83.4,846.094,0
frame0258.jpg,225,80.7,845.109,50
frame0241.jpg,228,81.8,846.703,0
frame0425.jpg,226,81.8,845.953,33.3
frame0551.jpg,229,81.8,846.594,0
